,nombre_completo_censo,año,ADM0NAME,ADM1NAME,ADM2NAME,poblacion,hombre,mujer,nacio_aqui,indigena,Afrodescendiente,discapacitado,alfabeto_si,alfabeto_no,alfabeto_si_15_o_mas,alfabeto_no_15_o_mas,sin_escolaridad_o_preescolar,primaria,secundaria,terciaria,posgrado,Ocupado,desocupado,inactivo,cantidad_de_viviendas,casa_o_departamento,viviendas_sin_bano,viviendas_sin_celular,viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,viviendas_sin_electricidad,vivirendas_sin_alcantarillado,viviendas_sin_servicio_de_basura,viviendas_sin_internet,personas_en_casa_o_depto,personas_sin_cel,personas_sin_agua_por_caneria,personas_sin_alcantarillado,personas_sin_bano,personas_sin_electricidad,personas_sin_internet,personas_sin_servicio_basura,urb_poblacion,urb_hombre,urb_mujer,urb_nacio_aqui,urb_indigena,urb_Afrodescendiente,urb_discapacitado,urb_alfabeto_si,urb_alfabeto_no,urb_alfabeto_si_15_o_mas,urb_alfabeto_no_15_o_mas,urb_sin_escolaridad_o_preescolar,urb_primaria,urb_secundaria,urb_terciaria,urb_posgrado,urb_Ocupado,urb_desocupado,urb_inactivo,urb_cantidad_de_viviendas,urb_casa_o_departamento,urb_viviendas_sin_bano,urb_viviendas_sin_celular,urb_viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,urb_viviendas_sin_electricidad,urb_vivirendas_sin_alcantarillado,urb_viviendas_sin_servicio_de_basura,urb_viviendas_sin_internet,urb_personas_en_casa_o_depto,urb_personas_sin_cel,urb_personas_sin_agua_por_caneria,urb_personas_sin_alcantarillado,urb_personas_sin_bano,urb_personas_sin_electricidad,urb_personas_sin_internet,urb_personas_sin_servicio_basura,Ciudad_norm_x,Estado_norm_x,estado_censo,estado_gdf,similitud_estado,indice,Estado_censo,nombre_censo,nombre_gdf,similitud,DPA_CANTON,DPA_DESCAN,DPA_VALOR,DPA_ANIO,DPA_PROVIN,DPA_DESPRO,SUPERFICIE,Ciudad_norm_y,Estado_norm_y,index_right,limraisg,area_sig_h,shape_Leng,shape_Area,Amazonas
40,RIOBAMBA_CHIMBORAZO,2010,Ecuador,CHIMBORAZO,RIOBAMBA,225741,106840,118901,171183,54722,3098,10796,187663,18011,148078,13410,17540,75953,57805,50152,4283,96771,3990,104913,79848,67758,4051,18661,17707,2155,17451,18675,54966,203294,57681,63848,62197,11173,5922,195261,66754,146324,69641,76683,100748,9783,2688,6467,128437,5365,104441,2673,4186,40616,42208,44497,3995,63237,3198,67367,47738,42663,132,7517,4099,244,1055,873,33461,132905,23690,15540,4174,220,815,118113,3426.0,riobamba,chimborazo,chimborazo,chimborazo,100,0,chimborazo,riobamba,riobamba,100,,,,,,,,,,,,,,,False
41,ALAUSI_CHIMBORAZO,2010,Ecuador,CHIMBORAZO,ALAUSI,44089,21188,22901,38368,25997,260,2887,30481,8304,20366,6774,9130,20350,6647,1521,63,16885,463,21437,16154,12198,4381,5828,7476,1594,8235,8546,10969,35197,20595,30545,33264,16653,5466,42538,34424,6330,3030,3300,4442,436,121,439,5283,504,3997,367,460,2200,2127,926,42,2256,173,3358,2355,1985,16,436,222,19,65,41,1485,5353,1164,868,227,40,71,5106,140.0,alausi,chimborazo,chimborazo,chimborazo,100,1,chimborazo,alausi,alausi,100,,,,,,,,,,,,,,,False
42,COLTA_CHIMBORAZO,2010,Ecuador,CHIMBORAZO,COLTA,44971,21642,23329,42071,39296,43,2643,31567,9529,23290,8486,11539,18822,7189,2286,68,21806,322,18968,21689,17459,3103,9170,11011,2186,12786,10476,14297,39600,26075,33742,39231,8249,5449,44454,31855,2313,1111,1202,1886,613,12,167,1965,184,1592,152,287,738,590,462,24,1065,39,1045,861,743,23,230,106,16,60,37,626,2085,637,344,181,42,42,2179,145.0,colta,chimborazo,chimborazo,chimborazo,100,2,chimborazo,colta,colta,100,,,,,,,,,,,,,,,False
43,CHAMBO_CHIMBORAZO,2010,Ecuador,CHIMBORAZO,CHAMBO,11885,5660,6225,9844,1107,192,600,9503,1217,7246,960,1195,5630,2637,1089,47,5490,86,5144,4478,3854,360,1284,1259,141,1377,577,2961,11080,4092,4885,5036,1148,383,11213,1980,4459,2145,2314,3537,119,134,236,3815,234,3030,163,280,1668,1307,745,36,2069,49,1931,1421,1335,30,321,225,18,85,63,1057,4260,961,900,301,84,49,3950,210.0,chambo,chimborazo,chimborazo,chimborazo,100,3,chimborazo,chambo,chambo,100,0604,CHAMBO,0.0,2001,06,CHIMBORAZO,163.719053385,chambo,chimborazo,0.0,1.0,846654806.58,215.60126354,692.668742221,True
44,CHUNCHI_CHIMBORAZO,2010,Ecuador,CHIMBORAZO,CHUNCHI,12686,6062,6624,10037,585,269,1169,9229,2173,6332,1758,2002,6655,2029,495,23,4659,180,6563,5163,4274,707,1429,1774,202,1914,1722,3226,11402,4533,6727,7481,2338,557,12071,6647,3784,1773,2011,2871,58,185,347,3120,329,2315,241,301,1634,1086,350,15,1415,74,1960,1346,1172,7,336,83,5,23,7,922,3436,981,300,72,7,8,3305,24.0,chunchi,chimborazo,chimborazo,chimborazo,100,4,chimborazo,chunchi,chunchi,100,,,,,,,,,,,,,,,False
45,GUAMOTE_CHIMBORAZO,2010,Ecuador,CHIMBORAZO,GUAMOTE,45153,22179,22974,43619,42664,48,2553,32221,7032,21504,5422,9128,21480,6215,1025,33,19223,281,19749,14555,9004,3314,6777,8503,2127,9896,9633,10962,30880,25570,35140,41140,11707,6845,44666,39990,2648,1261,1387,2156,1164,36,212,2225,192,1742,152,220,1026,711,398,21,1217,62,1138,1093,964,26,269,202,30,55,24,728,2361,797,730,206,62,101,2481,75.0,guamote,chimborazo,chimborazo,chimborazo,100,5,chimborazo,guamote,guamote,100,,,,,,,,,,,,,,,False
46,GUANO_CHIMBORAZO,2010,Ecuador,CHIMBORAZO,GUANO,42851,20495,22356,36856,5669,318,2780,34356,4193,26046,3147,3957,22631,8103,3269,164,17670,454,20425,17069,13791,2451,5751,6841,795,8292,8382,11194,38779,18572,25601,30734,7300,2152,41477,30878,7758,3725,4033,6277,39,166,542,6708,362,5346,223,400,3312,1890,1324,98,3436,145,3489,2691,2450,83,663,372,28,183,212,1852,7222,2196,1494,698,255,76,7039,821.0,guano,chimborazo,chimborazo,chimborazo,100,6,chimborazo,guano,guano,100,0607,GUANO,0.0,2001,06,CHIMBORAZO,459.726803423,guano,chimborazo,0.0,1.0,846654806.58,215.60126354,692.668742221,True
47,PALLATANGA_CHIMBORAZO,2010,Ecuador,CHIMBORAZO,PALLATANGA,11544,5718,5826,7996,3557,102,962,8741,1502,6204,1172,1538,6104,1997,455,28,4506,120,5617,4275,3227,367,1276,1988,296,1904,1690,2983,9498,4291,7894,7632,1225,1005,11315,6742,3813,1823,1990,2487,501,60,296,3109,322,2305,244,313,1873,890,314,20,1578,66,1787,1399,1137,19,318,309,26,99,30,1051,3335,870,1186,329,26,68,3689,81.0,pallatanga,chimborazo,chimborazo,chimborazo,100,7,chimborazo,pallatanga,pallatanga,100,,,,,,,,,,,,,,,False
48,PENIPE_CHIMBORAZO,2010,Ecuador,CHIMBORAZO,PENIPE,6739,3274,3465,4784,37,89,806,5542,608,4469,481,584,3509,1465,509,28,2920,61,3169,3777,3157,115,1177,1114,122,1228,1314,2112,6192,3152,3474,3769,224,262,6493,3997,1064,493,571,585,7,39,200,840,125,694,104,115,468,224,150,8,436,18,511,593,566,7,119,46,5,27,26,297,910,298,143,77,10,8,885,61.0,penipe,chimborazo,chimborazo,chimborazo,100,8,chimborazo,penipe,penipe,100,0609,PENIPE,0.0,2001,06,CHIMBORAZO,366.790002393,penipe,chimborazo,0.0,1.0,846654806.58,215.60126354,692.668742221,True
49,CUMANDA_CHIMBORAZO,2010,Ecuador,CHIMBORAZO,CUMANDA,12922,6343,6579,4391,577,541,810,10344,1101,7652,736,959,6088,3401,746,34,4682,269,6494,4522,3636,291,895,1512,187,1588,886,3343,10696,2813,5843,6158,975,643,12401,3407,8626,4169,4457,2547,301,417,559,7015,612,5221,382,520,3704,2605,616,24,3081,191,4355,2896,2346,37,523,748,68,537,65,2240,7117,1633,2897,2128,106,218,8190,250.0,cumanda,chimborazo,chimborazo,chimborazo,100,9,chimborazo,cumanda,cumanda,100,,,,,,,,,,,,,,,False
50,MACHALA_EL ORO,2010,Ecuador,EL ORO,MACHALA,245972,123024,122948,146324,2618,22882,12235,213438,10195,168336,5417,8611,86639,79817,42133,2218,102765,5969,114899,75479,62408,2102,10420,22986,1092,16370,5265,54908,208408,33363,88268,63645,5406,3727,198694,19762,231260,115221,116039,140338,2575,22007,11594,201359,9188,159035,4778,7766,79274,76078,41183,2202,96697,5810,108040,70571,58698,1661,9456,20804,999,13413,3867,51151,196675,30128,80333,52512,4198,3477,184939,14562.0,machala,el oro,el oro,el oro,100,0,el oro,machala,machala,100,,,,,,,,,,,,,,,False
51,ARENILLAS_EL ORO,2010,Ecuador,EL ORO,ARENILLAS,26844,13948,12896,11875,138,1274,1335,22730,1531,17709,932,1400,11484,8167,2610,88,10591,519,13151,8951,7345,944,2425,3551,305,3880,1745,6854,22919,8008,13329,14573,2770,800,24555,6188,17346,8916,8430,8465,117,931,873,14885,841,11662,493,818,6585,5730,2235,85,6946,441,8339,5306,4503,276,1132,1773,76,1673,417,4261,14722,3704,6952,6606,762,201,15352,1516.0,arenillas,el oro,el oro,el oro,100,1,el oro,arenillas,arenillas,100,,,,,,,,,,,,,,,False
52,ATAHUALPA_EL ORO,2010,Ecuador,EL ORO,ATAHUALPA,5833,3010,2823,3810,4,74,507,5067,284,4140,189,266,3007,1601,412,11,2136,76,3139,2051,1960,155,514,363,20,756,281,1594,5726,1545,1314,2755,328,44,5631,953,1594,783,811,944,0,25,125,1416,55,1146,41,58,671,514,214,8,575,27,869,524,509,16,113,75,1,39,6,421,1542,304,269,141,10,2,1457,16.0,atahualpa,el oro,el oro,el oro,100,2,el oro,atahualpa,atahualpa,100,,,,,,,,,,,,,,,False
53,BALSAS_EL ORO,2010,Ecuador,EL ORO,BALSAS,6861,3558,3303,2657,0,189,346,5737,402,4397,232,307,3190,1982,539,10,2591,114,3434,2236,2030,98,289,563,28,896,467,1711,6451,869,2143,3482,253,61,6365,1748,4032,2081,1951,1552,0,98,153,3433,191,2637,94,137,1713,1287,440,9,1561,61,2002,1242,1152,25,130,229,8,334,53,983,3807,382,872,1335,45,12,3631,201.0,balsas,el oro,el oro,el oro,100,3,el oro,balsas,balsas,100,,,,,,,,,,,,,,,False
54,CHILLA_EL ORO,2010,Ecuador,EL ORO,CHILLA,2484,1274,1210,1722,1,20,243,1987,250,1457,175,207,1343,517,145,2,958,12,1267,1385,1151,274,330,447,66,496,466,705,2309,963,1560,1707,863,165,2408,1619,1025,498,527,840,0,5,133,871,69,644,48,61,493,263,114,2,359,7,574,477,455,41,158,118,4,92,49,293,1003,442,408,303,87,5,966,160.0,chilla,el oro,el oro,el oro,100,4,el oro,chilla,chilla,100,,,,,,,,,,,,,,,False
55,EL GUABO_EL ORO,2010,Ecuador,EL ORO,EL GUABO,50009,26386,23623,22464,348,3430,2395,41452,3133,31611,1932,2594,24133,13325,3488,118,19796,696,24093,15846,11714,944,3597,6461,402,6547,1564,12711,39491,11833,24213,24708,2593,1212,46825,5526,22172,11360,10812,11432,230,1661,1141,18871,1093,14543,655,996,9305,6820,2333,89,8777,384,10803,6660,5029,149,1450,2072,66,1069,70,5451,17783,4706,7911,4022,343,225,19951,251.0,el guabo,el oro,el oro,el oro,100,5,el oro,el guabo,el guabo,100,,,,,,,,,,,,,,,False
56,HUAQUILLAS_EL ORO,2010,Ecuador,EL ORO,HUAQUILLAS,48285,24120,24165,21087,224,3125,2572,40809,2505,30782,1342,2009,21019,15434,3794,129,18959,1153,23202,15880,13127,971,3044,7147,686,7756,1220,12332,42070,9571,27154,29510,2457,2185,44102,4029,47706,23787,23919,20900,222,3031,2544,40335,2470,30400,1329,1991,20716,15264,3781,129,18677,1146,22982,15655,13094,820,2962,6984,638,7557,1087,12134,41994,9379,26725,28981,2101,2083,43576,3702.0,huaquillas,el oro,el oro,el oro,100,6,el oro,huaquillas,huaquillas,100,,,,,,,,,,,,,,,False
57,MARCABELI_EL ORO,2010,Ecuador,EL ORO,MARCABELI,5450,2781,2669,2390,6,186,328,4607,342,3436,218,304,2731,1516,341,27,2013,77,2859,1845,1717,45,313,309,18,402,232,1372,5173,975,1231,1550,109,46,5163,858,3682,1849,1833,1650,5,171,218,3117,214,2325,128,198,1667,1146,292,26,1399,64,1868,1135,1063,20,210,163,6,120,46,916,3463,659,662,463,40,8,3410,186.0,marcabeli,el oro,el oro,el oro,100,7,el oro,marcabeli,marcabeli,100,,,,,,,,,,,,,,,False
58,PASAJE_EL ORO,2010,Ecuador,EL ORO,PASAJE,72806,36792,36014,41494,230,3498,4285,62552,3667,48945,2328,3192,29766,22647,9120,364,29020,1387,35812,23856,19273,1044,4988,6874,451,5906,3274,17778,60886,15486,25612,22264,2936,1252,62845,12266,52673,26277,26396,32224,173,2682,3121,45689,2338,35945,1425,2055,19773,17307,7760,336,20933,1178,25916,16955,14069,358,3224,4062,263,2661,1456,12441,44848,9885,15119,10193,869,719,43610,5519.0,pasaje,el oro,el oro,el oro,100,8,el oro,pasaje,pasaje,100,,,,,,,,,,,,,,,False
59,PIÑAS_EL ORO,2010,Ecuador,EL ORO,PIÑAS,25988,13145,12843,16367,31,580,1667,22617,1126,18088,653,919,12255,7439,2742,93,10252,313,13178,9415,8701,412,1877,1238,136,3214,1230,6585,24694,5509,4403,11842,908,311,23109,4151,15517,7571,7946,9897,27,340,878,13658,498,10876,221,407,6141,5120,2332,87,6292,229,7635,5160,4804,30,580,512,18,841,111,3634,14565,1551,1906,3240,30,43,12792,347.0,pinas,el oro,el oro,el oro,100,9,el oro,pinas,pinas,100,,,,,,,,,,,,,,,False
60,PORTOVELO_EL ORO,2010,Ecuador,EL ORO,PORTOVELO,12200,6325,5875,6774,16,528,762,10491,637,8359,402,532,5413,3916,1021,43,4958,208,5962,4213,3707,185,866,855,62,1272,815,3289,11158,2504,3023,4401,432,155,11141,2770,7838,3994,3844,4417,10,444,415,6875,290,5486,145,241,3104,2854,812,37,3230,130,3805,2524,2266,24,482,375,7,334,78,2064,7162,1373,1351,1173,46,22,6968,272.0,portovelo,el oro,el oro,el oro,100,10,el oro,portovelo,portovelo,100,,,,,,,,,,,,,,,False
61,SANTA ROSA_EL ORO,2010,Ecuador,EL ORO,SANTA ROSA,69036,35227,33809,40553,400,4959,3852,59396,3452,46416,2098,3133,28093,20442,9161,379,27442,1373,34033,22225,18259,1529,4105,5813,629,5941,3477,16631,58955,12959,21341,22320,4311,1776,59651,12793,48929,24332,24597,31418,372,3759,2726,42571,2139,33298,1248,2015,18171,15163,7788,334,19410,1195,24105,15360,12538,574,2444,3082,252,2198,1109,11428,41362,7589,11327,8367,1451,803,40758,4275.0,santa rosa,el oro,el oro,el oro,100,11,el oro,santa rosa,santa rosa,100,,,,,,,,,,,,,,,False
62,ZARUMA_EL ORO,2010,Ecuador,EL ORO,ZARUMA,24097,12283,11814,18417,39,511,1572,20365,1701,16102,1191,1191,11936,6563,1990,83,9578,261,12227,8652,7533,1039,1749,2056,206,3015,2101,6117,22404,5404,7650,11365,3239,598,21831,7840,9677,4791,4886,7090,20,362,450,8567,317,6910,137,209,3773,3418,1406,73,4116,137,4631,3234,3030,17,371,339,7,196,47,2338,9153,1019,1211,737,21,17,7990,172.0,zaruma,el oro,el oro,el oro,100,12,el oro,zaruma,zaruma,100,,,,,,,,,,,,,,,False
63,LAS LAJAS_EL ORO,2010,Ecuador,EL ORO,LAS LAJAS,4794,2489,2305,1972,5,185,376,4125,281,3216,198,271,2527,1255,271,7,1726,64,2616,1788,1668,153,830,607,63,720,536,1286,4640,2869,2272,2672,443,176,4705,2046,1178,602,576,507,3,64,74,1007,65,795,44,53,494,381,122,4,446,24,602,369,352,17,185,91,1,69,14,297,1108,651,372,275,54,1,1125,74.0,las lajas,el oro,el oro,el oro,100,13,el oro,las lajas,las lajas,100,,,,,,,,,,,,,,,False
64,ESMERALDAS_ESMERALDAS,2010,Ecuador,ESMERALDAS,ESMERALDAS,189504,92076,97428,149816,1335,105209,10482,156460,12550,119034,6719,10509,60950,59602,29170,1880,66339,8721,93950,55299,44560,2662,11940,16843,2586,16157,4545,41191,156387,43970,69417,66120,7991,9788,162637,18540,154035,73735,80300,123498,1146,86968,8670,130055,8124,100106,4113,6970,45398,51361,27486,1788,55012,7553,75614,44023,37311,1645,8464,10738,1279,8692,1147,32884,132471,30515,44132,35277,4714,4819,128601,4440.0,esmeraldas,esmeraldas,esmeraldas,esmeraldas,100,0,esmeraldas,esmeraldas,esmeraldas,100,,,,,,,,,,,,,,,False
65,ELOY ALFARO_ESMERALDAS,2010,Ecuador,ESMERALDAS,ELOY ALFARO,39739,21048,18691,29772,6680,25458,2277,27709,6691,19328,4006,4858,18385,7711,1102,38,13694,1007,19699,11182,8276,2913,4387,7212,1538,8595,5664,8655,30204,19415,32693,38644,11449,6989,38654,26300,5302,3012,2290,4607,6,4757,310,4302,542,3163,321,408,1924,1570,235,9,1754,306,2784,1326,1136,457,428,560,111,1094,490,1099,4745,1826,2569,4983,1845,487,5004,2314.0,eloy alfaro,esmeraldas,esmeraldas,esmeraldas,100,1,esmeraldas,eloy alfaro,eloy alfaro,100,,,,,,,,,,,,,,,False
66,MUISNE_ESMERALDAS,2010,Ecuador,ESMERALDAS,MUISNE,28474,15344,13130,19352,890,8922,1574,20900,3982,14902,2382,3029,13872,5455,868,42,8937,1019,14926,8247,5312,1634,2954,5738,1431,6213,3594,6469,18784,12087,24909,26921,5906,5835,27742,15516,5925,2978,2947,4667,27,2314,356,4782,572,3614,363,514,2309,1755,412,29,2074,326,2954,1784,1484,345,547,1020,95,1143,293,1438,5048,1989,4092,4572,1139,343,5613,1136.0,muisne,esmeraldas,esmeraldas,esmeraldas,100,2,esmeraldas,muisne,muisne,100,,,,,,,,,,,,,,,False
67,QUININDE_ESMERALDAS,2010,Ecuador,ESMERALDAS,QUININDE,122570,64141,58429,65224,3157,28736,6037,93293,14116,67770,8578,11120,60321,26516,5294,208,44989,1873,60547,36076,26743,2262,8233,22394,4115,26422,15067,28039,93446,31844,94916,111618,7064,16529,116306,64084,28928,14301,14627,18470,156,11271,1624,23467,2123,17383,1187,1862,10745,9403,2806,133,10744,732,14114,8174,6856,228,1493,4269,196,4652,353,6385,24854,5363,17709,19718,604,799,25346,1458.0,quininde,esmeraldas,esmeraldas,esmeraldas,100,3,esmeraldas,quininde,quininde,100,,,,,,,,,,,,,,,False
68,SAN LORENZO_ESMERALDAS,2010,Ecuador,ESMERALDAS,SAN LORENZO,42486,21552,20934,27912,2243,30660,2013,29692,6688,21149,3815,5033,17837,9445,2003,118,15458,970,19952,11598,8652,2133,3274,5833,1303,6921,3804,9154,32986,13388,26138,31553,8481,5660,40509,17155,23265,11458,11807,15669,158,18094,1018,17202,2904,12553,1469,2051,8825,6620,1620,70,8464,749,10893,6177,4975,594,1325,2496,360,2834,430,4932,19407,5253,11379,13305,2135,1548,21747,2029.0,san lorenzo,esmeraldas,esmeraldas,esmeraldas,100,4,esmeraldas,san lorenzo,san lorenzo,100,,,,,,,,,,,,,,,False
69,ATACAMES_ESMERALDAS,2010,Ecuador,ESMERALDAS,ATACAMES,41526,21231,20295,25701,174,14211,2217,32315,4060,23677,2373,2949,18640,10552,2500,135,14082,1437,20856,16118,12222,892,3291,5770,982,9332,1786,9521,30386,12542,24337,38211,2693,3777,38402,7397,15463,7775,7688,9317,82,5659,868,12385,1258,9165,715,1008,6052,4633,1183,64,5542,644,7457,5352,3887,339,1122,1714,165,3255,242,3531,11356,4151,7024,12928,966,617,13697,948.0,atacames,esmeraldas,esmeraldas,esmeraldas,100,5,esmeraldas,atacames,atacames,100,,,,,,,,,,,,,,,False
70,RIOVERDE_ESMERALDAS,2010,Ecuador,ESMERALDAS,RIOVERDE,26869,14172,12697,19035,348,15337,1615,19248,4039,13773,2272,2672,13347,5123,735,28,8765,650,13872,7927,5160,1074,2982,5663,1442,6028,3306,5997,17946,12400,24913,26446,3686,5959,26110,14665,3169,1600,1569,2323,34,2093,147,2405,338,1723,188,276,1304,845,161,6,964,149,1630,879,735,155,236,570,72,720,136,711,2689,917,2444,3112,490,274,3028,583.0,rioverde,esmeraldas,esmeraldas,esmeraldas,100,6,esmeraldas,rioverde,rioverde,100,,,,,,,,,,,,,,,False
71,GUAYAQUIL_GUAYAS,2010,Ecuador,GUAYAS,GUAYAQUIL,2350915,1158221,1192694,1687599,32179,255422,112959,2036668,92342,1622152,51917,82585,742810,815483,410235,24123,931449,84633,1112928,671452,576873,13878,103396,141883,18819,236435,43678,509330,2049705,346304,545498,943516,33535,66432,1920668,161956,2278691,1120331,1158360,1645384,31531,246365,109029,1980906,85188,1579932,47299,76790,706423,799470,407678,24058,906492,83152,1076450,648870,559711,11178,97525,131091,16731,221489,37161,491179,1991558,325698,503363,884995,24615,59439,1850971,136857.0,guayaquil,guayas,guayas,guayas,100,0,guayas,guayaquil,guayaquil,100,,,,,,,,,,,,,,,False
72,ALFREDO BAQUERIZO MORENO_GUAYAS,2010,Ecuador,GUAYAS,ALFREDO BAQUERIZO MORENO,25179,13013,12166,11717,77,1729,1388,20119,2389,15103,1686,1853,12469,6438,1166,30,8798,446,13264,7586,5467,1236,2237,4595,741,6681,4357,6651,18623,7349,16941,24890,3731,2308,24557,15999,8343,4207,4136,3880,72,1043,559,7031,577,5366,377,488,3248,2960,743,19,2933,291,4384,2450,1780,352,670,1077,203,2147,426,2132,6145,2302,4140,8137,1163,700,7945,1627.0,alfredo baquerizo moreno,guayas,guayas,guayas,100,1,guayas,alfredo baquerizo moreno,alfredo baquerizo moreno,100,,,,,,,,,,,,,,,False
73,BALAO_GUAYAS,2010,Ecuador,GUAYAS,BALAO,20523,10998,9525,8413,118,1962,1141,16252,1825,12398,1171,1628,10545,4693,701,28,8209,219,9649,6452,5452,552,1553,2773,210,5079,840,5205,17793,5459,10608,19771,1703,626,19818,3127,9220,4795,4425,5043,62,1019,566,7460,694,5744,433,601,4521,2340,412,20,3559,150,4445,2554,2189,111,709,915,35,2130,17,2211,8106,2653,3742,8775,347,131,8926,62.0,balao,guayas,guayas,guayas,100,2,guayas,balao,balao,100,,,,,,,,,,,,,,,False
74,BALZAR_GUAYAS,2010,Ecuador,GUAYAS,BALZAR,53937,28001,25936,35875,87,4206,2870,40340,7375,29534,5444,6500,25270,12076,1988,58,17048,1365,29302,16172,12533,1490,3954,9454,1489,10673,6608,13096,42381,14128,38539,43514,4731,5301,52345,26697,28794,14476,14318,20687,78,3152,1699,22178,3494,16405,2546,3114,11876,8186,1666,52,9149,1024,15499,8600,7221,276,2023,3858,550,4454,971,6873,24469,7227,15963,18538,610,1878,27467,3921.0,balzar,guayas,guayas,guayas,100,3,guayas,balzar,balzar,100,,,,,,,,,,,,,,,False
75,COLIMES_GUAYAS,2010,Ecuador,GUAYAS,COLIMES,23423,12423,11000,15245,11,1313,1456,17217,3478,12819,2556,3262,12093,4157,489,14,7506,416,12773,7491,5200,1322,2254,4718,1129,5833,4129,6287,16510,7134,17691,21663,4202,3744,22932,15382,6191,3144,3047,4488,7,479,397,4669,810,3519,560,836,2574,1665,272,10,1857,219,3403,2008,1700,94,684,631,138,1215,223,1684,5245,2093,2336,4487,233,418,5946,747.0,colimes,guayas,guayas,guayas,100,4,guayas,colimes,colimes,100,,,,,,,,,,,,,,,False
76,DAULE_GUAYAS,2010,Ecuador,GUAYAS,DAULE,120326,60195,60131,83782,187,6276,5909,97014,10994,74805,8089,9721,50441,29697,14199,1401,42331,3036,62641,39180,32287,6028,9198,19857,1932,24774,14992,27903,97780,31319,76295,96254,19300,5767,104450,56789,65145,31756,33389,42992,114,4616,2810,55082,3529,42818,2250,3201,20435,19494,13099,1382,24622,2049,31940,22972,20652,844,3698,6495,532,10280,1735,13283,57561,13012,25766,41274,2246,1593,50177,6657.0,daule,guayas,guayas,guayas,100,5,guayas,daule,daule,100,,,,,,,,,,,,,,,False
77,DURAN_GUAYAS,2010,Ecuador,GUAYAS,DURAN,235769,116401,119368,87968,6815,25595,11590,202720,9769,157512,5388,9195,76846,86057,31005,1195,90485,8318,113686,72578,59468,3002,11868,34871,3495,36010,11412,55761,199451,37937,130606,134874,7623,10977,203320,40746,230839,113746,117093,86063,6807,25408,11289,199056,9051,154758,4854,8528,74209,85206,30928,1195,88697,8254,111156,70898,58473,2491,11423,33579,3226,34652,10068,54399,196304,36572,125958,129962,5958,10246,198454,35880.0,duran,guayas,guayas,guayas,100,6,guayas,duran,duran,100,,,,,,,,,,,,,,,False
78,EL TRIUNFO_GUAYAS,2010,Ecuador,GUAYAS,EL TRIUNFO,44778,22824,21954,22822,362,4491,2649,35659,3982,26328,2554,3281,20561,11756,2581,98,16232,788,22621,13807,10672,775,2759,6106,724,8609,2972,10764,35775,9389,24615,34759,2187,2468,42025,11401,34863,17496,17367,18206,252,3769,2081,28044,2905,20687,1811,2415,15287,9880,2312,91,12646,688,17615,10488,8093,420,2115,4248,487,6093,1171,8279,27798,7307,17319,24915,1162,1753,32416,4527.0,el triunfo,guayas,guayas,guayas,100,8,guayas,el triunfo,el triunfo,100,,,,,,,,,,,,,,,False
79,MILAGRO_GUAYAS,2010,Ecuador,GUAYAS,MILAGRO,166634,83241,83393,119039,1680,12345,9377,141241,8839,109879,5498,8442,64572,51188,21276,1071,61713,3893,84474,52729,41203,2812,10299,19377,1798,38526,11765,41186,134511,32404,71954,144865,7398,5303,149477,42895,133508,66062,67446,97328,1564,11125,7630,114485,6174,89487,3691,6014,47663,43614,19587,1021,49510,3614,67535,41750,33062,1373,7563,12688,1135,29848,4740,32320,109108,23758,47636,112995,3372,3366,117350,17159.0,milagro,guayas,guayas,guayas,100,9,guayas,milagro,milagro,100,,,,,,,,,,,,,,,False
80,NARANJAL_GUAYAS,2010,Ecuador,GUAYAS,NARANJAL,69012,36625,32387,29198,456,5994,3517,54787,6266,41440,4022,5418,33357,17341,3144,99,26995,921,33137,21789,16925,1980,4565,8101,1209,12997,5516,16949,55474,15361,31312,50686,6151,4106,64553,21429,28487,14443,14044,14366,208,2539,1453,23593,1919,18218,1145,1798,11919,8884,2154,75,11416,499,13597,8765,7053,226,1629,1802,227,2894,441,6758,23730,5490,7245,11785,616,849,25733,1742.0,naranjal,guayas,guayas,guayas,100,10,guayas,naranjal,naranjal,100,,,,,,,,,,,,,,,False
81,NARANJITO_GUAYAS,2010,Ecuador,GUAYAS,NARANJITO,37186,19063,18123,20152,2252,3070,2444,30703,2928,23390,2066,2865,17013,10090,2262,93,13716,589,19326,12269,9642,604,3292,3823,375,6688,2168,9747,30485,10662,14452,25739,1769,1206,35724,8176,28546,14560,13986,15278,2174,2633,1971,23797,2084,18180,1462,2082,12165,8393,2081,91,10416,532,14933,9544,7513,152,2472,2300,226,4449,217,7482,23540,7857,8584,17152,391,746,27175,741.0,naranjito,guayas,guayas,guayas,100,11,guayas,naranjito,naranjito,100,,,,,,,,,,,,,,,False
82,PALESTINA_GUAYAS,2010,Ecuador,GUAYAS,PALESTINA,16065,8354,7711,7875,20,731,945,12276,2094,9206,1583,1979,7761,3556,442,7,5385,343,8642,5059,4147,787,1320,2686,369,3362,1856,4331,13163,4187,9919,12330,2528,1087,15713,6804,8480,4325,4155,4335,16,491,577,6769,863,5138,632,864,3692,2382,335,6,2853,250,4529,2699,2414,90,570,921,143,1302,167,2255,7589,1790,3406,4817,210,427,8215,585.0,palestina,guayas,guayas,guayas,100,12,guayas,palestina,palestina,100,,,,,,,,,,,,,,,False
