,nombre_completo_censo,año,ADM0NAME,ADM1NAME,ADM2NAME,poblacion,hombre,mujer,nacio_aqui,indigena,Afrodescendiente,discapacitado,alfabeto_si,alfabeto_no,alfabeto_si_15_o_mas,alfabeto_no_15_o_mas,sin_escolaridad_o_preescolar,primaria,secundaria,terciaria,posgrado,Ocupado,desocupado,inactivo,cantidad_de_viviendas,casa_o_departamento,viviendas_sin_bano,viviendas_sin_celular,viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,viviendas_sin_electricidad,vivirendas_sin_alcantarillado,viviendas_sin_servicio_de_basura,viviendas_sin_internet,personas_en_casa_o_depto,personas_sin_cel,personas_sin_agua_por_caneria,personas_sin_alcantarillado,personas_sin_bano,personas_sin_electricidad,personas_sin_internet,personas_sin_servicio_basura,urb_poblacion,urb_hombre,urb_mujer,urb_nacio_aqui,urb_indigena,urb_Afrodescendiente,urb_discapacitado,urb_alfabeto_si,urb_alfabeto_no,urb_alfabeto_si_15_o_mas,urb_alfabeto_no_15_o_mas,urb_sin_escolaridad_o_preescolar,urb_primaria,urb_secundaria,urb_terciaria,urb_posgrado,urb_Ocupado,urb_desocupado,urb_inactivo,urb_cantidad_de_viviendas,urb_casa_o_departamento,urb_viviendas_sin_bano,urb_viviendas_sin_celular,urb_viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,urb_viviendas_sin_electricidad,urb_vivirendas_sin_alcantarillado,urb_viviendas_sin_servicio_de_basura,urb_viviendas_sin_internet,urb_personas_en_casa_o_depto,urb_personas_sin_cel,urb_personas_sin_agua_por_caneria,urb_personas_sin_alcantarillado,urb_personas_sin_bano,urb_personas_sin_electricidad,urb_personas_sin_internet,urb_personas_sin_servicio_basura,Ciudad_norm_x,Estado_norm_x,estado_censo,estado_gdf,similitud_estado,indice,Estado_censo,nombre_censo,nombre_gdf,similitud,estado,ciudad,latitud,longitud,detalles,Ciudad_norm_y,Estado_norm_y,index_right,limraisg,area_sig_h,shape_Leng,shape_Area,Amazonas
102,ANTIOQUIA-SANTO DOMINGO,2018,Colombia,ANTIOQUIA,SANTO DOMINGO,9786,5080,4706,,3,53,1288,8387,782,7126,615,694,4285,3537,577,62,3333,196,4720,5478,5369,17,,,69,1944,1465,3041,9420,,4606,5818,35,172,8753,4404,2624,1338,1286,,1,26,201,2298,139,2009,102,143,887,1130,256,34,736,83,1258,1163,1116,1,,,6,63,7,724,2366,,29,178,1,14,1898,18.0,santo domingo,antioquia,antioquia,antioquia,100,102,antioquia,santo domingo,santo domingo,100,,,,,,,,,,,,,False
103,ANTIOQUIA-EL SANTUARIO,2018,Colombia,ANTIOQUIA,EL SANTUARIO,30311,14425,15886,,3,61,1400,26231,1604,21736,1014,1642,11266,12605,2040,238,12105,498,12460,11950,11887,4,,,24,1873,1131,5942,30154,,1847,6449,16,84,19513,3925,23258,10796,12462,,1,57,1163,20318,1089,16915,666,1127,8060,10090,1871,228,9507,448,9330,8344,8286,0,,,13,59,30,4060,23120,,574,208,0,44,13098,90.0,el santuario,antioquia,antioquia,antioquia,100,103,antioquia,el santuario,el santuario,100,,,,,,,,,,,,,False
104,ANTIOQUIA-SEGOVIA,2018,Colombia,ANTIOQUIA,SEGOVIA,33690,16853,16837,,574,880,2014,27474,3005,22097,2100,3069,11619,13888,1730,130,12786,852,13758,14191,13956,358,,,601,4872,1457,7567,32940,,8508,15693,1096,1774,22647,4824,27590,13663,13927,,56,249,1607,22939,2112,18653,1456,2253,8955,12083,1608,123,10513,793,11316,11329,11113,97,,,214,3454,314,5888,26875,,5156,10857,258,616,16920,928.0,segovia,antioquia,antioquia,antioquia,100,104,antioquia,segovia,segovia,100,,,,,,,,,,,,,False
105,ANTIOQUIA-SONSON,2018,Colombia,ANTIOQUIA,SONSON,31861,16012,15849,,7,173,4255,27217,2525,22734,1911,2420,13975,10918,2179,229,12558,534,13967,14538,14212,45,,,126,3950,3482,7928,31428,,10910,13299,117,388,24860,11672,15983,7634,8349,,7,104,2891,14063,926,12112,696,946,5772,6270,1791,199,6261,468,6986,6406,6125,6,,,24,179,32,3376,15611,,159,612,10,65,9832,93.0,sonson,antioquia,antioquia,antioquia,100,105,antioquia,sonson,sonson,100,,,,,,,,,,,,,False
106,ANTIOQUIA-SOPETRAN,2018,Colombia,ANTIOQUIA,SOPETRAN,13748,6904,6844,,3,1674,823,11959,942,10321,680,869,5116,5512,1160,218,5747,263,5851,7930,7783,85,,,62,2608,1617,3608,13506,,1656,7513,214,154,10044,4564,6459,3071,3388,,3,91,537,5774,290,5058,195,303,1824,2887,861,177,2710,157,2729,3211,3125,2,,,5,263,37,1351,6300,,56,778,2,15,3652,92.0,sopetran,antioquia,antioquia,antioquia,100,106,antioquia,sopetran,sopetran,100,,,,,,,,,,,,,False
107,ANTIOQUIA-TAMESIS,2018,Colombia,ANTIOQUIA,TAMESIS,15012,7569,7443,,156,76,4014,12847,1293,11157,1049,1244,6298,5418,1066,111,5207,337,7566,6937,6790,21,,,64,2047,1749,4076,14629,,2750,6233,45,133,11363,5338,6903,3271,3632,,7,53,1707,6036,437,5296,343,465,2275,2919,740,75,2340,194,3388,2969,2878,8,,,19,132,35,1725,6585,,224,402,10,25,4345,103.0,tamesis,antioquia,antioquia,antioquia,100,107,antioquia,tamesis,tamesis,100,,,,,,,,,,,,,False
108,ANTIOQUIA-TARAZA,2018,Colombia,ANTIOQUIA,TARAZA,22826,11272,11554,,83,451,1012,17624,3108,12917,2335,2941,9339,7404,706,103,8078,502,9605,10311,10215,386,,,344,2463,1184,6434,22567,,4845,7912,1142,922,20607,3766,12605,6054,6551,,27,345,568,9930,1547,7403,1146,1550,4771,4457,563,92,4333,362,5401,6108,6066,23,,,34,507,134,3351,12421,,1011,1674,65,81,10672,419.0,taraza,antioquia,antioquia,antioquia,100,108,antioquia,taraza,taraza,100,,,,,,,,,,,,,False
109,ANTIOQUIA-TARSO,2018,Colombia,ANTIOQUIA,TARSO,5663,2841,2822,,0,18,840,4547,751,3932,609,669,2288,1876,437,25,2075,156,2697,2358,2303,13,,,23,682,649,1477,5587,,2137,2267,27,57,4768,2147,3235,1587,1648,,0,18,461,2609,406,2286,337,368,1154,1129,338,23,1178,118,1532,1209,1167,5,,,13,12,12,771,3183,,18,32,11,29,2403,25.0,tarso,antioquia,antioquia,antioquia,100,109,antioquia,tarso,tarso,100,,,,,,,,,,,,,False
110,ANTIOQUIA-TITIRIBI,2018,Colombia,ANTIOQUIA,TITIRIBI,8316,4118,4198,,2,30,734,7092,785,6150,705,780,3485,3073,483,61,3005,178,4055,4064,4021,4,,,24,444,565,2313,8133,,921,1327,14,70,6774,1560,4053,1981,2072,,0,23,391,3544,287,3085,253,337,1390,1710,353,49,1419,107,1947,1649,1625,0,,,3,20,10,1000,3891,,23,58,0,6,2792,15.0,titiribi,antioquia,antioquia,antioquia,100,110,antioquia,titiribi,titiribi,100,,,,,,,,,,,,,False
111,ANTIOQUIA-TOLEDO,2018,Colombia,ANTIOQUIA,TOLEDO,4930,2613,2317,,12,30,971,4000,565,3204,383,434,2192,1554,346,24,1507,369,2231,2280,2195,69,,,39,919,900,1421,4850,,1094,3042,159,96,4500,2975,1700,822,878,,6,24,285,1456,122,1209,78,113,538,644,250,23,656,78,701,902,854,3,,,12,30,6,455,1666,,19,99,6,26,1316,17.0,toledo,antioquia,antioquia,antioquia,100,111,antioquia,toledo,toledo,100,,,,,,,,,,,,,False
112,ANTIOQUIA-TURBO,2018,Colombia,ANTIOQUIA,TURBO,114434,55316,59118,,2322,72550,4301,93929,9767,71244,6854,10089,35447,47204,9864,726,33016,5294,52452,39450,36631,3931,,,980,21356,6602,24966,107531,,44326,79314,14416,3268,89751,24041,45673,20963,24710,,69,39563,1760,38716,2533,30333,1657,2887,11773,19297,6591,627,12520,2969,21047,17438,16743,530,,,220,6510,1056,8695,44308,,10722,24034,1863,758,30196,3762.0,turbo,antioquia,antioquia,antioquia,100,112,antioquia,turbo,turbo,100,,,,,,,,,,,,,False
113,ANTIOQUIA-URAMITA,2018,Colombia,ANTIOQUIA,URAMITA,6523,3373,3150,,110,52,812,5138,867,4068,692,854,2865,1894,356,22,2333,94,2952,2881,2822,169,,,83,1792,1293,1925,6405,,3419,5840,538,221,6155,4335,1982,908,1074,,0,45,253,1654,173,1374,144,187,651,701,260,19,713,66,881,883,872,7,,,13,457,12,567,1969,,35,1372,14,21,1623,22.0,uramita,antioquia,antioquia,antioquia,100,113,antioquia,uramita,uramita,100,,,,,,,,,,,,,False
114,ANTIOQUIA-URRAO,2018,Colombia,ANTIOQUIA,URRAO,29004,14494,14510,,1726,1192,4819,22552,3986,18322,2951,3816,11450,9409,1447,265,11508,540,11677,11102,10551,668,,,486,3867,3852,7356,26990,,9052,13584,2767,2002,23790,13489,15598,7404,8194,,470,308,2278,12876,1550,10673,1187,1538,5245,6072,1249,245,6309,480,6209,6286,6016,46,,,71,161,79,3592,14860,,637,546,186,229,10638,260.0,urrao,antioquia,antioquia,antioquia,100,114,antioquia,urrao,urrao,100,,,,,,,,,,,,,False
115,ANTIOQUIA-VALDIVIA,2018,Colombia,ANTIOQUIA,VALDIVIA,11511,5791,5720,,2,87,731,8881,1659,6896,1250,1668,5128,3214,464,42,3800,335,5279,4662,4485,27,,,246,2683,947,3511,11186,,5045,8137,68,673,10616,2767,3198,1487,1711,,0,36,295,2626,331,2139,251,369,1171,1063,303,33,1102,169,1430,1418,1356,3,,,16,135,21,830,3130,,112,422,14,35,2510,51.0,valdivia,antioquia,antioquia,antioquia,100,115,antioquia,valdivia,valdivia,100,,,,,,,,,,,,,False
116,ANTIOQUIA-VALPARAISO,2018,Colombia,ANTIOQUIA,VALPARAISO,5431,2758,2673,,288,15,497,4613,521,4035,430,432,2188,2008,452,41,2193,150,2416,2659,2609,4,,,18,521,615,1615,5367,,611,1588,8,37,4528,1807,3211,1542,1669,,5,15,390,2826,226,2506,185,196,1137,1283,385,40,1301,119,1442,1485,1438,3,,,10,40,11,884,3150,,68,124,7,19,2348,20.0,valparaiso,antioquia,antioquia,antioquia,100,116,antioquia,valparaiso,valparaiso,100,,,,,,,,,,,,,False
117,ANTIOQUIA-VEGACHI,2018,Colombia,ANTIOQUIA,VEGACHI,11134,5533,5601,,45,96,1313,9191,1193,7422,929,1229,4507,3879,700,54,3971,327,5020,4474,4240,50,,,78,1045,945,3001,10809,,2005,3486,145,261,9229,3058,7571,3647,3924,,6,81,966,6341,725,5213,548,765,2816,2782,642,47,2676,269,3452,2878,2714,1,,,21,112,59,1927,7358,,43,383,1,52,5689,134.0,vegachi,antioquia,antioquia,antioquia,100,117,antioquia,vegachi,vegachi,100,,,,,,,,,,,,,False
118,ANTIOQUIA-VENECIA,2018,Colombia,ANTIOQUIA,VENECIA,10280,5063,5217,,8,44,1361,8770,1063,7612,902,941,4117,3892,801,64,4317,320,4518,5029,4923,5,,,24,677,590,2571,10089,,881,1940,15,51,7107,1607,4776,2234,2542,,0,22,535,4214,382,3688,334,360,1709,1903,567,49,1944,167,2158,2254,2195,1,,,6,96,8,1054,4642,,17,280,2,12,2765,16.0,venecia,antioquia,antioquia,antioquia,100,118,antioquia,venecia,venecia,100,,,,,,,,,,,,,False
119,ANTIOQUIA-VIGIA DEL FUERTE,2018,Colombia,ANTIOQUIA,VIGIA DEL FUERTE,8139,4049,4090,,1035,6675,857,5840,1138,4223,720,785,2709,2599,499,59,1651,137,3971,2764,2559,978,,,284,2150,1187,1962,7057,,7563,8027,4098,951,7395,4257,3093,1473,1620,,21,2999,310,2470,282,1869,153,274,866,1179,375,36,852,35,1519,1131,1100,160,,,22,866,81,761,3016,,2970,2987,651,50,2655,258.0,vigia del fuerte,antioquia,antioquia,antioquia,100,119,antioquia,vigia del fuerte,vigia del fuerte,100,,,,,,,,,,,,,False
120,ANTIOQUIA-YALI,2018,Colombia,ANTIOQUIA,YALI,6234,3238,2996,,10,39,1009,4955,823,4096,658,746,2656,2038,294,25,2505,69,2726,2600,2459,99,,,108,1102,1097,1963,6028,,2250,3208,235,276,5524,3165,3048,1456,1592,,4,30,445,2498,354,2102,278,307,1145,1115,247,22,1209,60,1365,1260,1224,2,,,5,19,18,870,2996,,27,57,3,12,2350,38.0,yali,antioquia,antioquia,antioquia,100,120,antioquia,yali,yali,100,,,,,,,,,,,,,False
121,ANTIOQUIA-YARUMAL,2018,Colombia,ANTIOQUIA,YARUMAL,36337,17638,18699,,13,148,3367,31139,2620,25433,2010,2747,12977,14310,3344,351,12996,1953,15397,14112,13846,26,,,101,2576,2203,7606,35406,,6133,8733,69,304,23578,7274,26783,12570,14213,,12,130,2214,23131,1799,19139,1392,1915,8398,11206,3063,325,9329,1791,11326,9913,9694,9,,,42,251,112,4992,25962,,734,812,32,113,14825,331.0,yarumal,antioquia,antioquia,antioquia,100,121,antioquia,yarumal,yarumal,100,,,,,,,,,,,,,False
122,ANTIOQUIA-YOLOMBO,2018,Colombia,ANTIOQUIA,YOLOMBO,19010,9700,9310,,6,106,1917,16089,1676,13261,1271,1627,8465,6351,1150,135,7371,406,8375,8684,8528,187,,,194,4264,3358,5499,18679,,8988,13241,469,489,16503,10387,6175,2775,3400,,6,93,583,5434,340,4536,236,371,2054,2398,820,109,2323,235,2683,2616,2551,5,,,9,548,71,1480,5989,,50,1626,10,16,3960,228.0,yolombo,antioquia,antioquia,antioquia,100,122,antioquia,yolombo,yolombo,100,,,,,,,,,,,,,False
123,ANTIOQUIA-YONDO,2018,Colombia,ANTIOQUIA,YONDO,17597,9046,8551,,22,648,609,14199,1628,11168,1201,1702,6454,6134,1441,50,5489,1189,7164,7631,7258,533,,,184,2170,1462,4715,17346,,4496,7147,1647,501,15540,4822,9515,4630,4885,,13,460,416,7815,712,6166,476,729,2930,3730,1066,45,2619,902,3962,4058,3804,56,,,31,307,79,2382,9421,,807,1029,185,82,7710,271.0,yondo,antioquia,antioquia,antioquia,100,123,antioquia,yondo,yondo,100,,,,,,,,,,,,,False
124,ANTIOQUIA-ZARAGOZA,2018,Colombia,ANTIOQUIA,ZARAGOZA,24067,12099,11968,,1965,7885,807,18641,3122,14019,2221,3026,8953,8637,982,140,7118,901,10884,9307,8930,1486,,,687,4400,3821,6449,23395,,12665,15050,4852,1983,21865,12880,11095,5304,5791,,196,5483,410,9170,937,7081,699,1063,3539,4635,752,108,3364,511,5046,4170,4040,35,,,34,901,560,2647,10843,,1369,3184,110,98,9046,1896.0,zaragoza,antioquia,antioquia,antioquia,100,124,antioquia,zaragoza,zaragoza,100,,,,,,,,,,,,,False
125,ATLANTICO-BARRANQUILLA,2018,Colombia,ATLANTICO,BARRANQUILLA,1120103,536790,583313,,1272,57342,46074,996528,30068,844053,18087,48473,220769,446577,276238,32967,444229,56588,435501,346988,330104,1338,,,1288,6431,4419,121571,1071578,,10768,23422,4561,4444,467470,15915,1119367,536391,582976,,1270,57337,46065,995962,29992,843601,18022,48382,220530,446367,276149,32958,443902,56568,435266,346761,329898,1279,,,1249,6265,4252,121393,1070890,,10346,22799,4311,4314,466830,15289.0,barranquilla,atlantico,atlantico,atlantico,100,0,atlantico,barranquilla,barranquilla,100,,,,,,,,,,,,,False
126,ATLANTICO-BARANOA,2018,Colombia,ATLANTICO,BARANOA,61527,30695,30832,,7327,624,4517,53210,3071,43955,2191,3424,15153,29014,8131,502,20367,3368,27204,16964,16260,454,,,274,9563,1125,12435,59468,,6672,39573,1542,859,51238,3885,51287,25401,25886,,5660,558,3638,44530,2410,36847,1677,2729,12081,24386,7221,467,16984,2708,22814,13734,13224,307,,,198,7029,467,10001,49776,,3259,29461,1057,640,41583,1663.0,baranoa,atlantico,atlantico,atlantico,100,1,atlantico,baranoa,baranoa,100,,,,,,,,,,,,,False
127,ATLANTICO-CAMPO DE LA CRUZ,2018,Colombia,ATLANTICO,CAMPO DE LA CRUZ,22810,11394,11416,,10,1162,572,18102,2527,14214,2055,2502,7302,9478,1259,58,4473,4453,9197,6175,6010,765,,,674,4594,1357,4779,22242,,3678,21709,3526,2974,22575,6034,19949,9890,10059,,6,1134,534,15958,2122,12568,1736,2112,6324,8365,1198,56,3767,3825,8385,4897,4768,679,,,549,4008,1020,4172,19480,,3084,18946,3162,2498,19723,4632.0,campo la cruz,atlantico,atlantico,atlantico,100,2,atlantico,campo la cruz,campo la cruz,100,,,,,,,,,,,,,False
128,ATLANTICO-CANDELARIA,2018,Colombia,ATLANTICO,CANDELARIA,15631,7961,7670,,30,7365,992,11804,2289,9074,1978,2105,5054,5955,936,33,4230,1936,6163,3916,3853,591,,,116,1441,592,3389,15399,,1856,6770,2535,415,15564,2518,11200,5692,5508,,21,4142,733,8371,1760,6416,1523,1577,3577,4224,723,21,3089,1507,4240,2647,2594,367,,,36,564,321,2487,10989,,927,2474,1572,120,11141,1382.0,candelaria,atlantico,atlantico,atlantico,100,3,atlantico,candelaria,candelaria,100,,,,,,,,,,,,,False
129,ATLANTICO-GALAPA,2018,Colombia,ATLANTICO,GALAPA,55123,27613,27510,,6955,449,1228,47590,2325,38657,1514,2857,12842,26685,7204,268,18544,3505,22472,15780,14540,136,,,132,2479,671,10114,51503,,1945,9569,470,450,38468,2511,52214,26041,26173,,6638,426,1163,45309,1990,36895,1265,2553,11864,25489,7071,265,17621,3353,21252,14889,13730,105,,,61,1750,137,9359,48831,,1092,6821,353,230,35600,529.0,galapa,atlantico,atlantico,atlantico,100,4,atlantico,galapa,galapa,100,,,,,,,,,,,,,False
130,ATLANTICO-JUAN DE ACOSTA,2018,Colombia,ATLANTICO,JUAN DE ACOSTA,18828,9719,9109,,102,2540,920,15786,1430,12979,1181,1546,5474,7757,2328,91,6839,738,7989,5943,5574,278,,,152,4561,893,4497,17768,,1958,18509,1000,502,18182,3308,12374,6280,6094,,71,93,585,10416,860,8593,710,959,3479,5041,1721,63,4530,548,5097,3171,3014,80,,,71,2948,65,2851,11914,,506,12304,259,273,11859,225.0,juan acosta,atlantico,atlantico,atlantico,100,5,atlantico,juan acosta,juan acosta,100,,,,,,,,,,,,,False
131,ATLANTICO-LURUACO,2018,Colombia,ATLANTICO,LURUACO,27647,13813,13834,,51,21155,1682,22040,2985,17287,2415,2966,8309,12522,1129,77,8091,2436,11636,7393,7206,605,,,178,4844,2665,5771,27178,,3555,19883,2201,544,23529,10816,13996,6823,7173,,7,9692,698,11243,1316,8861,981,1286,4109,6458,643,55,4028,1373,5712,3702,3636,251,,,57,1548,773,2717,13817,,1032,6302,877,166,11108,2978.0,luruaco,atlantico,atlantico,atlantico,100,6,atlantico,luruaco,luruaco,100,,,,,,,,,,,,,False
132,ATLANTICO-MALAMBO,2018,Colombia,ATLANTICO,MALAMBO,119920,59511,60409,,7528,635,6295,102761,5942,83085,3953,7545,29579,54859,16123,426,40202,7008,49955,33064,31595,301,,,239,5635,3314,19385,115574,,5951,23249,1179,857,79677,13415,112799,55790,57009,,7058,606,6167,97020,5239,78493,3465,6955,27432,51805,15515,389,37910,6718,46798,30740,29478,220,,,127,4049,2363,17833,108816,,3759,16584,855,451,73261,9534.0,malambo,atlantico,atlantico,atlantico,100,7,atlantico,malambo,malambo,100,,,,,,,,,,,,,False
133,ATLANTICO-MANATI,2018,Colombia,ATLANTICO,MANATI,19233,9761,9472,,19,5846,606,14911,2228,11917,1568,1691,5436,8764,1150,82,5165,1821,8197,4419,4341,512,,,149,1734,1014,3940,18986,,1879,8102,1982,449,19062,4174,17404,8737,8667,,18,5825,570,13685,1847,11009,1254,1341,4821,8144,1130,81,4554,1769,7446,3760,3706,250,,,36,1386,515,3419,17220,,1001,7017,1206,195,17242,2442.0,manati,atlantico,atlantico,atlantico,100,8,atlantico,manati,manati,100,,,,,,,,,,,,,False
134,ATLANTICO-PALMAR DE VARELA,2018,Colombia,ATLANTICO,PALMAR DE VARELA,27098,13572,13526,,14,190,412,23040,1750,19081,1318,2031,7028,12023,3502,186,7381,1360,13648,6878,6629,423,,,194,3876,755,5753,26503,,1520,16480,1665,512,24518,2515,26236,13057,13179,,14,189,396,22432,1575,18579,1181,1865,6717,11748,3473,186,7001,1354,13325,6256,6107,345,,,71,3539,473,5419,25723,,715,15618,1466,257,23663,1866.0,palmar varela,atlantico,atlantico,atlantico,100,9,atlantico,palmar varela,palmar varela,100,,,,,,,,,,,,,False
135,ATLANTICO-PIOJO,2018,Colombia,ATLANTICO,PIOJO,5636,2932,2704,,1363,267,83,4550,619,3618,518,621,1654,2229,633,32,1920,100,2625,1617,1474,191,,,88,1327,608,1321,5303,,1109,5593,688,308,5549,2311,2708,1353,1355,,1015,35,53,2284,214,1869,184,218,673,1088,490,29,979,51,1242,646,606,15,,,19,592,79,585,2555,,194,2679,64,83,2625,329.0,piojo,atlantico,atlantico,atlantico,100,10,atlantico,piojo,piojo,100,,,,,,,,,,,,,False
136,ATLANTICO-POLONUEVO,2018,Colombia,ATLANTICO,POLONUEVO,16222,8203,8019,,26,279,1033,13877,990,11203,776,1200,4271,7145,2123,109,5603,484,7312,4437,4152,193,,,98,2046,565,3737,15363,,2302,8430,644,249,15656,1898,13498,6706,6792,,12,261,818,11697,666,9516,518,879,3314,6039,2008,105,4665,415,6076,3581,3382,152,,,33,1396,181,3081,12856,,1302,5736,518,94,12957,602.0,polonuevo,atlantico,atlantico,atlantico,100,11,atlantico,polonuevo,polonuevo,100,,,,,,,,,,,,,False
137,ATLANTICO-PONEDERA,2018,Colombia,ATLANTICO,PONEDERA,23420,11926,11494,,2,292,1204,18415,2733,14392,2290,2550,7132,9460,1921,65,7384,863,10517,5699,5477,600,,,211,2476,761,5031,22740,,1534,11198,2436,667,22972,3219,13527,6837,6690,,2,58,970,10773,1451,8480,1213,1378,3891,5429,1455,55,4377,428,6070,3145,3072,184,,,36,601,286,2875,13288,,500,2712,789,133,13112,1377.0,ponedera,atlantico,atlantico,atlantico,100,12,atlantico,ponedera,ponedera,100,,,,,,,,,,,,,False
138,ATLANTICO-PUERTO COLOMBIA,2018,Colombia,ATLANTICO,PUERTO COLOMBIA,47899,23310,24589,,1111,644,994,42775,1339,36043,832,2029,8351,17319,13362,2980,19372,1518,19241,15230,14803,135,,,210,1984,496,5086,46782,,2568,7179,384,699,20075,1780,41975,20217,21758,,997,592,906,37587,1097,31663,649,1758,7044,14725,12258,2848,16938,1358,16964,13251,13044,90,,,102,754,316,4017,41408,,1967,2766,278,335,16186,1125.0,puerto colombia,atlantico,atlantico,atlantico,100,13,atlantico,puerto colombia,puerto colombia,100,,,,,,,,,,,,,False
139,ATLANTICO-REPELON,2018,Colombia,ATLANTICO,REPELON,25467,12737,12730,,39,21694,1964,19844,3108,16020,2235,2866,7794,10620,1560,81,7799,1030,11547,7088,6807,1155,,,57,5655,1151,5743,24659,,2370,22957,4520,160,23298,4264,17560,8646,8914,,23,14673,1601,13677,2037,11130,1394,1832,5081,7491,1232,58,5408,621,7963,4613,4492,779,,,16,3726,318,3798,17120,,712,15388,3116,51,15697,1219.0,repelon,atlantico,atlantico,atlantico,100,14,atlantico,repelon,repelon,100,,,,,,,,,,,,,False
140,ATLANTICO-SABANAGRANDE,2018,Colombia,ATLANTICO,SABANAGRANDE,32026,15987,16039,,18,595,1008,27208,1866,22216,1532,2194,7865,14936,3776,263,10426,2180,13680,7894,7765,143,,,107,659,508,6307,31645,,1300,2507,515,386,28293,1883,30607,15192,15415,,16,585,927,26154,1639,21377,1341,1979,7418,14415,3681,260,9873,2151,13110,7249,7148,109,,,52,299,147,5920,30306,,660,1224,424,206,26913,582.0,sabanagrande,atlantico,atlantico,atlantico,100,15,atlantico,sabanagrande,sabanagrande,100,,,,,,,,,,,,,False
141,ATLANTICO-SABANALARGA,2018,Colombia,ATLANTICO,SABANALARGA,92480,45892,46588,,69,1052,4792,76202,7689,61721,5865,7223,22817,40067,12716,988,27289,8594,38993,23620,22818,1255,,,888,7217,2411,18261,89892,,12706,31429,5293,3303,79380,9426,69030,33828,35202,,47,863,3249,58380,4330,47763,3164,4363,14970,30788,11558,958,20916,6339,28876,17240,16756,310,,,483,2087,750,13074,67334,,6763,8472,1241,1858,56260,2865.0,sabanalarga,atlantico,atlantico,atlantico,100,16,atlantico,sabanalarga,sabanalarga,100,,,,,,,,,,,,,False
142,ATLANTICO-SANTA LUCIA,2018,Colombia,ATLANTICO,SANTA LUCIA,12650,6311,6339,,3,4439,911,10046,1250,7902,997,1265,4026,5042,894,45,3125,1373,5534,3347,3138,779,,,82,1115,1272,2746,12311,,1498,4958,3333,293,12430,5531,10948,5444,5504,,3,3631,863,8723,1043,6868,835,1050,3462,4393,802,43,2631,1223,4828,2615,2547,603,,,46,767,1120,2397,10661,,1073,3266,2540,186,10732,4969.0,santa lucia,atlantico,atlantico,atlantico,100,17,atlantico,santa lucia,santa lucia,100,,,,,,,,,,,,,False
143,ATLANTICO-SANTO TOMAS,2018,Colombia,ATLANTICO,SANTO TOMAS,28693,14154,14539,,17,123,1667,24731,1685,20701,1279,1982,6514,12681,4801,400,10530,1338,11976,7540,7220,289,,,133,1333,853,5535,27736,,3007,5146,1052,362,23686,3246,27433,13424,14009,,14,123,1551,23770,1507,19960,1120,1767,6082,12247,4746,397,10057,1296,11480,6949,6654,225,,,27,970,493,5172,26495,,1768,3900,857,77,22443,2011.0,santo tomas,atlantico,atlantico,atlantico,100,18,atlantico,santo tomas,santo tomas,100,,,,,,,,,,,,,False
144,ATLANTICO-SOLEDAD,2018,Colombia,ATLANTICO,SOLEDAD,535984,260921,275063,,443,6910,17988,471469,16531,390580,9563,24272,111415,238067,110049,3295,195294,29699,215226,147987,142286,629,,,716,14068,6297,67837,519419,,7791,54805,2328,2538,262953,23638,535131,260440,274691,,443,6903,17982,470967,16314,390202,9412,24079,111044,237944,110026,3291,195034,29676,214893,147761,142062,449,,,700,13861,6097,67633,518570,,7051,53986,1600,2474,262145,22836.0,soledad,atlantico,atlantico,atlantico,100,19,atlantico,soledad,soledad,100,,,,,,,,,,,,,False
145,ATLANTICO-SUAN,2018,Colombia,ATLANTICO,SUAN,11607,5675,5932,,23,5100,773,9490,985,7568,812,1040,3173,5288,907,56,3735,745,4873,2684,2633,74,,,125,497,206,2185,11263,,608,2149,222,435,10423,815,11175,5433,5742,,23,4762,768,9176,909,7326,755,963,3005,5159,892,56,3547,744,4724,2492,2441,19,,,53,372,80,2058,10831,,190,1723,75,240,9991,388.0,suan,atlantico,atlantico,atlantico,100,20,atlantico,suan,suan,100,,,,,,,,,,,,,False
146,ATLANTICO-TUBARA,2018,Colombia,ATLANTICO,TUBARA,12718,6606,6112,,8063,75,451,10531,1104,8607,934,1257,3645,5364,1316,47,3987,863,5612,4456,4153,185,,,265,2180,783,2959,12065,,1902,8827,662,912,12307,2964,6456,3233,3223,,4604,13,230,5444,448,4526,372,562,1622,2837,846,22,1948,504,2873,1517,1425,52,,,59,744,81,1397,6143,,509,3238,213,212,6236,334.0,tubara,atlantico,atlantico,atlantico,100,21,atlantico,tubara,tubara,100,,,,,,,,,,,,,False
147,ATLANTICO-USIACURI,2018,Colombia,ATLANTICO,USIACURI,9543,4874,4669,,4576,34,352,8044,716,6704,585,691,2712,4640,685,25,3125,498,4330,2529,2460,92,,,106,1257,277,2170,9335,,1283,5321,297,315,9457,886,8980,4549,4431,,4428,24,337,7637,600,6362,483,587,2468,4480,670,25,2888,497,4082,2153,2100,58,,,32,1061,81,1973,8796,,835,4765,221,128,8899,330.0,usiacuri,atlantico,atlantico,atlantico,100,22,atlantico,usiacuri,usiacuri,100,,,,,,,,,,,,,False
